indice_tiempo,ipc_nucleo_nacional,saldo_base_monetaria
2010-08-01,,135670.90243989328
2010-09-01,,137986.04447822718
2010-10-01,,142075.1287109473
2010-11-01,,145338.1119577147
2010-12-01,,156101.53753869623
2011-01-01,,162963.02041566564
2011-02-01,,162469.82202267242
2011-03-01,,164307.61741692413
2011-04-01,,167793.21695323047
2011-05-01,,171579.32055034846
2011-06-01,,176953.55412961612
2011-07-01,,186289.17120901844
2011-08-01,,189070.49217584627
2011-09-01,,190643.9094099508
2011-10-01,,191981.79859233845
2011-11-01,,196006.6782360085
2011-12-01,,210825.76929338838
2012-01-01,,220489.6610939209
2012-02-01,,208812.32756353047
2012-03-01,,216259.78374013127
2012-04-01,,220425.74121889108
2012-05-01,,223677.5334100704
2012-06-01,,236778.4683113955
2012-07-01,,252155.6550332251
2012-08-01,,258124.38593516266
2012-09-01,,261892.5804892231
2012-10-01,,265125.8450155717
2012-11-01,,271626.14038937347
2012-12-01,,293100.76322253403
2013-01-01,,298198.78517722234
2013-02-01,,292117.6953465081
2013-03-01,,296306.7998890484
2013-04-01,,297258.09629935195
2013-05-01,,301076.9979160999
2013-06-01,,311360.6460571794
2013-07-01,,323030.8086775059
2013-08-01,,326941.1018827657
2013-09-01,,329910.28141520516
2013-10-01,,334633.83223701717
2013-11-01,,338016.58273907355
2013-12-01,,361414.9165393925
2014-01-01,,367684.01118863723
2014-02-01,,346347.572774239
2014-03-01,,351947.3812021883
2014-04-01,,353400.46296613984
2014-05-01,,353714.58075466094
2014-06-01,,367175.64842262695
2014-07-01,,383292.33206637076
2014-08-01,,390848.3980598269
2014-09-01,,395684.96585976944
2014-10-01,,400749.68471131125
2014-11-01,,408524.28663149773
2014-12-01,,442969.8042649758
2015-01-01,,453011.45585390896
2015-02-01,,450330.90785967157
2015-03-01,,453198.17050609447
2015-04-01,,456458.68210318993
2015-05-01,,468573.22655460786
2015-06-01,,487909.9490962464
2015-07-01,,517334.8937031113
2015-08-01,,527233.8779844689
2015-09-01,,532933.3826635941
2015-10-01,,544292.6156323141
2015-11-01,,560081.4178754071
2015-12-01,,622699.5034712369
2016-01-01,,601463.160108642
